연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201708,종로구,38,408,409,362,315,80,1612,1
201708,중구,98,388,356,347,357,47,1593,1
201708,중랑구,340,"1,048","1,092",992,"1,085",211,4768,4
201709,강남구,372,931,901,778,708,146,3836,3
201709,강동구,245,696,623,653,633,120,2970,2
201709,강북구,303,"1,042","1,139","1,098","1,048",160,4790,4
201709,강서구,387,"1,491","1,541","1,609","1,655",289,6972,6
201709,관악구,319,924,"1,012",982,930,166,4333,4
201709,광진구,132,485,467,446,444,74,2048,1
201709,구로구,274,583,687,689,641,97,2971,2
201709,금천구,234,683,737,740,679,103,3176,2
201709,노원구,495,"1,737","1,740","1,916","1,781",308,7977,8
201709,도봉구,253,611,676,734,738,126,3138,2
201709,동대문구,178,978,"1,004",990,803,114,4067,3
201709,동작구,253,582,646,659,609,108,2857,2
201709,마포구,233,583,623,588,603,99,2729,2
201709,서대문구,590,503,550,624,575,79,2921,2
201709,서초구,182,327,331,289,310,54,1493,1
201709,성동구,128,511,545,526,495,69,2274,1
201709,성북구,346,834,961,967,848,149,4105,3
201709,송파구,209,635,611,537,552,118,2662,2
201709,양천구,225,683,692,696,712,102,3110,2
201709,영등포구,210,765,666,635,581,98,2955,2
201709,용산구,158,520,509,491,445,84,2207,1
201709,은평구,406,"1,286","1,241","1,224","1,157",168,5482,5
201709,종로구,37,421,411,367,315,82,1633,1
201709,중구,98,395,363,346,362,46,1610,1
201709,중랑구,329,"1,060","1,092",999,"1,097",212,4789,4
201710,강남구,351,930,897,790,706,150,3824,3
201710,강동구,238,698,622,668,626,125,2977,2
